epoch,training_combined_loss,training_colorization_loss,training_style_loss,validation_combined_loss,validation_colorization_loss,validation_style_loss
0,0.0,0.4908160014638623,8.320337174949406e-06,0.5883830670387514,0.8405469194535287,8.097698546114243e-07
1,0.0,0.3196735789089141,8.497980014721632e-07,0.5373018518570931,0.7675740084340495,2.339383843630663e-07
2,0.0,0.23834714105407012,3.6639642308146026e-07,0.5144152997001525,0.7348788476759388,3.428784207097769e-07
3,0.0,0.18523684978292212,9.530394600503431e-08,0.5015446053397271,0.7164923048788502,3.407842954065047e-08
4,0.0,0.15901540574228878,8.440261770758138e-08,0.4728318375925864,0.675474064965402,1.1905488208189156e-08
5,0.0,0.14944191672462476,6.542812581833783e-08,0.4761801275514787,0.6802573338631661,4.6260045256795207e-08
6,0.0,0.14518217836479538,4.5851096963070104e-08,0.4750559695305363,0.6786513636189122,9.588618587302686e-08
7,0.0,0.1425411676126005,4.8998424648847576e-08,0.47744786739349365,0.6820683959991701,7.936089634914688e-09
8,0.0,0.140628629710682,1.829843462657261e-08,0.47326163226558315,0.6760880562566942,1.2401494025253199e-08
9,0.0,0.13910475194839983,6.939123836844356e-09,0.49529946523327983,0.7075706758806782,7.771319072129436e-10
10,0.0,0.13747001576770856,1.0175131038791681e-08,0.4856990172017005,0.6938557432543847,2.770944931840269e-11
