epoch,training_loss,validation_loss
0,0.1364590983477331,0.12664076342032507
1,0.13510878624454623,
2,0.1342339633453277,
3,0.13393748281223158,0.12500035762786865
4,0.13301034013350163,
5,0.1315876652877177,
6,0.1322078629126472,0.12514656610213792
7,0.13170761500875797,
8,0.13198473208373593,
9,0.13049635309125146,0.12487215032944313
10,0.13034664142516353,
11,0.12978389011996408,
12,0.12828863514286856,0.12439189278162442
13,0.12826406120532943,
14,0.12752534491160222,
15,0.1270952903695645,0.12456892316158001
16,0.12675807799302763,
17,0.12610885975581984,
18,0.12489561490233868,0.12249405911335579
