epoch,training_loss,validation_loss
0,0.6532506341880193,0.4173524004797782
1,0.36697319207839596,
2,0.28137939092989495,
3,0.22285901685169984,
4,0.1847996794675932,
5,0.16260810524321684,0.15067182937937398
6,0.1505450973811659,
7,0.14463372227154117,
8,0.14029830308408028,
9,0.13599350402270322,
10,0.13096711456679216,0.1264493436582627
11,0.12828169676285345,
12,0.12554204476014696,
13,0.1233397288470978,
14,0.1212542967985363,
15,0.1181984759119722,0.11831960490634365
16,0.11544430226955599,
17,0.11303863631000796,
18,0.11159670432505098,
19,0.10927230917809465,
20,0.10759760427339948,0.10994433924075096
